# sma[pix]	I	I_err
148.00  8.50779194e-04  5.43724750e-04
148.50  1.67766915e-04  4.79590113e-04
149.00 -5.48530533e-04  6.85336688e-04
149.50 -4.28380440e-04  8.66510385e-04
150.00  4.98332032e-04  5.74484280e-04
150.50  1.49923852e-03  6.81389886e-04
151.00  1.72010913e-03  6.96699023e-04
151.50  1.65135343e-03  5.34553968e-04
152.00  1.18595202e-03  5.39121464e-04
152.50  4.70348027e-04  8.01282976e-04
153.00  4.84468638e-04  5.31809835e-04
153.50  3.60462541e-04  4.50054953e-04
154.00 -1.00288242e-04  5.52192841e-04
154.50 -3.41378910e-05  6.37439233e-04
155.00  1.54947638e-04  6.74877839e-04
155.50  3.51772141e-04  5.62202247e-04
156.00  4.48718240e-04  6.93321266e-04
156.50  4.64430624e-04  6.27491447e-04
157.00  1.08309543e-03  6.40000593e-04
157.50  1.71763327e-03  6.88150350e-04
158.00  1.37104574e-03  4.52244986e-04
158.50  6.86068080e-04  4.50403032e-04
159.00  4.15132007e-04  3.55334695e-04
159.50  2.14189677e-04  5.86710234e-04
160.00 -3.44327626e-05  5.00794684e-04
160.50 -3.61517877e-04  4.63546689e-04
161.00 -4.86260747e-04  5.26272473e-04
161.50 -2.54005435e-04  5.34058410e-04
162.00 -1.23468762e-04  6.00509492e-04
162.50 -3.26960912e-04  4.14314043e-04
163.00 -6.41607174e-04  4.44553478e-04
163.50 -8.28240420e-04  6.54996476e-04
164.00 -7.49285867e-04  8.20355880e-04
164.50 -7.85863269e-04  8.61401652e-04
165.00 -8.89921211e-04  5.73340187e-04
165.50 -6.31739783e-04  6.43646543e-04
166.00 -7.41825669e-04  6.64521240e-04
166.50 -1.47220110e-03  4.59634320e-04
167.00 -1.42797371e-03  7.68389569e-04
167.50 -3.68766912e-04  4.63209339e-04
168.00 -2.01785520e-04  4.30300636e-04
168.50 -7.39340841e-04  4.94538158e-04
169.00 -6.86979542e-04  8.09762490e-04
169.50  9.48969305e-05  6.31322479e-04
170.00  1.33088233e-03  5.80381640e-04
170.50  1.24691881e-03  7.73885657e-04
171.00  2.76884090e-04  9.63461418e-04
171.50  4.87299448e-04  8.39934804e-04
172.00  1.35216683e-03  6.03529057e-04
172.50  2.18292496e-03  6.82085994e-04
173.00  2.05536004e-03  8.69591494e-04
173.50 -2.39330260e-04  6.36535374e-04
174.00 -2.35435444e-03  7.67554099e-04
174.50 -2.52711046e-03  6.60847996e-04
175.00 -1.94380398e-03  6.69950882e-04
175.50 -3.87844935e-04  3.13074808e-04
176.00  6.57081333e-04  4.44548964e-04
176.50 -3.53144458e-04  4.07306347e-04
177.00 -9.34148049e-04  3.99803121e-04
177.50  2.97131419e-04  4.53793415e-04
178.00  1.30856183e-03  6.24526081e-04
178.50  7.29643881e-04  5.80976348e-04
179.00  9.37974159e-05  6.85277296e-04
179.50  1.69383010e-05  1.19190572e-03
180.00 -6.04307934e-04  1.10375615e-03
180.50 -1.07465169e-03  6.36471557e-04
